Total Requests: 5 | Response Time: [2520, 2505, 2505, 2504, 2505, 2]
Total Requests: 65 | Response Time: [10023, 10007, 10004, 10006, 10004, 10006, 10004, 10006, 10006, 10007, 10004, 10005, 10004, 10006, 10005, 10006, 10004, 10004, 10004, 10004, 10006, 10006, 10003, 10003, 10006, 604, 604, 603, 603, 603, 603, 603, 607, 604, 605, 605, 605, 605, 605, 605, 606, 604, 605, 603, 604, 605, 604, 603, 603, 604, 706, 703, 702, 704, 705, 705, 705, 705, 705, 705, 705, 706, 704, 704, 705, 2]
Total Requests: 500 | Response Time: [8024, 8003, 8007, 8003, 8007, 8005, 8005, 8003, 8005, 8004, 8005, 8006, 8005, 8004, 8005, 8005, 8012, 8006, 8004, 8006, 8006, 8005, 8003, 8003, 8006, 8005, 8005, 8002, 8005, 8004, 8004, 8005, 8008, 8005, 8005, 8004, 8004, 8004, 8004, 8005, 8004, 8005, 8005, 8004, 8004, 8005, 8003, 8003, 8004, 8004, 8004, 8005, 8003, 8005, 8004, 8004, 8005, 8004, 8002, 8003, 8004, 8004, 8005, 8003, 8005, 8004, 8003, 8003, 8005, 8003, 8004, 8005, 8004, 8004, 8004, 8003, 8005, 8005, 8003, 8004, 8003, 8003, 8003, 8004, 8003, 8004, 8003, 8004, 8005, 8003, 8003, 8003, 8005, 8002, 8003, 8004, 8006, 8005, 8003, 8004, 8004, 8004, 8005, 8003, 8004, 8004, 8004, 8004, 8004, 8003, 8003, 8004, 8003, 8002, 8004, 8003, 8004, 8004, 8004, 8003, 8005, 8004, 8003, 8004, 8004, 8005, 8003, 8003, 8005, 8002, 8004, 8003, 8004, 8003, 8005, 8003, 8004, 8004, 8003, 8002, 8003, 8003, 8003, 8004, 8004, 8003, 8004, 8003, 8004, 8003, 8003, 8003, 8003, 8003, 8004, 8003, 8003, 8004, 8003, 8003, 8004, 8003, 8002, 8003, 8003, 8002, 8002, 8002, 8004, 8004, 8003, 8003, 8003, 8003, 8003, 8004, 8003, 8003, 8002, 8002, 8003, 8004, 8003, 8004, 8003, 8003, 8004, 8003, 8003, 8005, 8003, 8003, 8005, 8003, 8003, 8004, 8004, 8003, 8003, 8003, 8003, 8003, 8002, 8004, 8004, 8003, 8004, 8003, 8003, 8004, 8002, 8002, 8004, 8003, 8002, 8003, 8003, 8003, 8004, 8002, 8003, 8002, 8004, 8003, 8003, 8003, 8004, 8002, 8003, 8003, 8003, 8001, 8003, 8003, 8002, 8003, 8003, 8003, 8003, 8003, 8003, 8004, 8002, 8003, 8004, 8004, 8004, 8003, 8003, 8004, 6002, 6004, 6003, 6004, 6007, 6004, 6004, 6004, 6003, 6011, 6003, 6004, 6003, 6004, 6003, 6003, 6003, 6003, 6004, 6004, 6003, 6003, 6002, 6003, 6002, 6002, 6003, 6002, 6001, 6002, 6003, 6002, 6003, 6003, 6002, 6002, 6002, 6003, 6003, 6002, 6001, 6002, 6002, 6003, 6002, 6003, 6003, 6002, 6003, 6003, 6003, 6002, 6002, 6003, 6002, 6003, 6003, 6002, 6003, 6003, 6002, 6002, 6002, 6004, 6003, 6003, 6003, 6002, 6002, 6003, 6004, 6003, 6003, 6005, 6003, 6003, 6002, 6002, 6002, 6002, 6003, 6002, 6003, 6002, 6003, 6002, 6003, 6002, 6003, 6002, 6003, 6002, 6003, 6003, 6002, 6003, 6002, 6002, 6003, 6003, 5003, 5003, 5003, 5003, 5002, 5003, 5003, 5003, 5002, 5002, 5003, 5002, 5003, 5002, 5002, 5002, 5002, 5003, 5001, 5003, 5003, 5002, 5004, 5003, 5003, 5003, 5003, 5002, 5003, 5003, 5002, 5003, 5004, 5003, 5004, 5002, 5003, 5003, 5003, 5002, 5002, 5003, 5002, 5002, 5002, 5002, 5002, 5002, 5003, 5004, 5002, 5003, 5002, 5003, 5002, 5003, 5003, 5002, 5003, 5013, 5003, 5004, 5002, 5002, 5003, 5002, 5002, 5002, 5002, 5003, 5002, 5004, 5002, 5002, 5003, 5002, 5003, 5003, 5002, 5002, 5002, 5003, 5003, 5005, 5002, 5002, 5003, 5003, 5004, 5002, 5003, 5003, 5003, 5002, 5002, 5003, 5002, 5003, 5002, 5002, 5003, 5005, 5002, 5009, 5002, 5003, 5015, 5002, 5002, 5003, 5001, 5002, 5002, 5003, 5003, 5002, 5002, 5003, 5015, 5003, 5003, 5002, 5002, 5002, 5003, 5002, 5002, 5002, 5003, 5003, 5003, 5001, 5003, 5002, 5003, 5003, 5002, 5002, 5002, 5002, 5002, 5002, 5003, 5002, 5002, 5003, 5003, 5003, 5003, 5002, 2]
Total Requests: 5 | Response Time: [2520, 2506, 2506, 2504, 2503, 0]
Total Requests: 0 | Response Time: [26]
Total Requests: 5 | Response Time: [276, 253, 256, 256, 255, 2]
Total Requests: 65 | Response Time: [88, 74, 74, 74, 75, 75, 74, 73, 73, 74, 75, 73, 73, 74, 73, 1004, 1004, 1004, 1004, 1003, 1003, 1004, 1005, 1006, 1005, 1006, 1005, 1006, 1004, 1004, 1003, 1006, 1003, 1004, 1004, 1006, 1005, 1006, 1004, 1004, 65, 64, 63, 63, 64, 63, 64, 63, 63, 65, 65, 65, 63, 63, 64, 65, 63, 62, 63, 63, 63, 63, 63, 64, 63, 1]
Total Requests: 500 | Response Time: [68, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 55, 56, 58, 55, 53, 52, 53, 53, 53, 53, 53, 54, 52, 52, 53, 54, 54, 53, 54, 53, 60, 55, 54, 53, 55, 55, 55, 54, 54, 55, 55, 53, 54, 55, 55, 54, 55, 55, 55, 54, 55, 55, 53, 54, 54, 55, 55, 54, 54, 55, 55, 56, 54, 54, 55, 54, 54, 53, 52, 53, 52, 52, 52, 53, 52, 52, 53, 53, 53, 52, 52, 53, 52, 53, 52, 52, 52, 53, 54, 54, 54, 54, 55, 53, 54, 55, 54, 54, 55, 55, 54, 52, 52, 54, 54, 54, 53, 54, 54, 53, 53, 53, 60, 55, 55, 52, 52, 54, 52, 52, 52, 53, 53, 53, 53, 53, 54, 52, 53, 52, 52, 52, 54, 53, 52, 52, 52, 53, 52, 53, 53, 54, 52, 53, 52, 53, 51, 53, 82, 83, 82, 82, 82, 82, 84, 83, 82, 81, 83, 82, 83, 82, 82, 82, 82, 82, 83, 81, 82, 85, 81, 82, 82, 82, 82, 82, 82, 82, 82, 83, 83, 84, 84, 83, 83, 83, 84, 84, 93, 84, 99, 84, 84, 92, 83, 84, 97, 84, 92, 83, 84, 84, 83, 84, 84, 93, 82, 84, 83, 84, 84, 95, 83, 84, 83, 85, 84, 83, 83, 84, 83, 84, 84, 84, 84, 84, 84, 83, 83, 84, 83, 84, 83, 84, 83, 84, 84, 84, 83, 84, 83, 83, 84, 84, 84, 84, 82, 84, 82, 81, 83, 82, 82, 83, 82, 82, 83, 83, 83, 84, 81, 83, 83, 84, 83, 94, 83, 82, 82, 93, 83, 83, 83, 83, 84, 85, 82, 83, 82, 82, 94, 81, 82, 82, 82, 82, 95, 82, 81, 82, 82, 81, 83, 83, 82, 82, 81, 82, 83, 82, 82, 82, 82, 81, 82, 82, 81, 82, 83, 81, 82, 83, 81, 83, 81, 82, 82, 83, 81, 83, 82, 82, 83, 81, 83, 82, 83, 82, 83, 83, 82, 84, 82, 83, 83, 82, 83, 83, 82, 83, 82, 82, 84, 83, 83, 83, 83, 82, 83, 83, 83, 84, 83, 82, 83, 83, 84, 83, 83, 82, 83, 83, 83, 84, 83, 82, 83, 83, 83, 83, 83, 82, 83, 84, 83, 83, 83, 83, 84, 83, 84, 84, 84, 82, 82, 84, 82, 84, 83, 82, 83, 83, 83, 83, 83, 83, 83, 81, 62, 61, 62, 61, 62, 61, 61, 62, 62, 61, 61, 62, 62, 62, 64, 62, 63, 63, 62, 64, 63, 62, 64, 63, 63, 63, 63, 61, 63, 62, 64, 63, 62, 62, 63, 62, 62, 62, 61, 62, 63, 67, 62, 64, 62, 61, 62, 61, 62, 61, 62, 61, 62, 61, 61, 62, 62, 61, 62, 62, 61, 62, 61, 61, 62, 62, 61, 62, 61, 62, 61, 62, 61, 62, 61, 62, 61, 62, 61, 62, 62, 61, 62, 61, 62, 61, 62, 61, 62, 61, 61, 62, 61, 62, 61, 62, 61, 62, 61, 62, 1]
Total Requests: 100 | Response Time: [78, 55, 57, 53, 55, 54, 55, 56, 54, 54, 55, 56, 54, 54, 55, 56, 54, 53, 54, 54, 53, 54, 53, 54, 54, 53, 53, 55, 56, 54, 54, 59, 53, 53, 52, 54, 54, 52, 52, 55, 54, 55, 55, 54, 54, 54, 54, 55, 54, 55, 55, 55, 55, 54, 54, 55, 54, 55, 55, 53, 53, 55, 55, 55, 54, 54, 55, 54, 54, 55, 53, 54, 54, 54, 53, 52, 53, 54, 54, 55, 55, 53, 52, 53, 52, 54, 53, 54, 54, 66, 52, 64, 55, 55, 54, 55, 66, 53, 66, 53, 2]
Total Requests: 5 | Response Time: [53, 30, 36, 30, 31, 3]
Total Requests: 100 | Response Time: [83, 56, 56, 54, 54, 57, 56, 55, 57, 54, 54, 53, 53, 53, 53, 55, 54, 54, 54, 54, 55, 56, 56, 55, 55, 55, 55, 56, 54, 52, 53, 55, 54, 56, 55, 55, 55, 54, 56, 55, 55, 55, 56, 54, 54, 55, 55, 54, 54, 55, 54, 54, 54, 55, 54, 54, 54, 55, 53, 54, 55, 54, 56, 56, 55, 54, 54, 54, 54, 55, 54, 55, 55, 54, 55, 55, 54, 55, 55, 54, 55, 55, 66, 63, 56, 55, 54, 54, 54, 55, 54, 54, 65, 55, 65, 54, 55, 54, 53, 54, 2]
