Total Requests: 5 | Response Time: [10025, 10004, 10005, 10008, 10004]
Total Requests: 10 | Response Time: [15005, 15007, 14998, 15010, 15003, 15001, 15006, 15002, 15008, 15004]
Total Requests: 15 | Response Time: [20003, 20002, 19999, 20001, 20005, 20000, 20004, 20006, 20007, 20008, 19998, 19997, 20009, 20010, 20011]
Total Requests: 20 | Response Time: [25001, 25002, 25000, 24999, 25003, 25004, 25005, 25006, 25007, 25008, 25009, 25010, 25011, 25012, 25013, 25014, 25015, 25016, 25017, 25018]
Total Requests: 25 | Response Time: [30000, 30001, 30002, 30003, 30004, 30005, 30006, 30007, 30008, 30009, 30010, 30011, 30012, 30013, 30014, 30015, 30016, 30017, 30018, 30019, 30020, 30021, 30022, 30023, 30024]
Total Requests: 10 | Response Time: [19, 18, 22, 21, 20, 26, 24, 21, 21, 19, 1]
Total Requests: 25 | Response Time: [27, 24, 18, 19, 19, 19, 19, 19, 19, 20, 19, 19, 18, 19, 19, 17, 31, 19, 19, 18, 19, 19, 28, 18, 17, 1]
Total Requests: 25 | Response Time: [23, 20, 20, 19, 19, 22, 22, 23, 22, 19, 21, 24, 22, 25, 24, 21, 31, 24, 21, 23, 26, 24, 21, 20, 24, 3]
Total Requests: 25 | Response Time: [23, 25, 30, 20, 21, 21, 26, 19, 22, 20, 20, 21, 20, 20, 26, 27, 36, 30, 23, 26, 22, 21, 21, 23, 23, 2]
Total Requests: 25 | Response Time: [20, 19, 19, 18, 19, 19, 19, 18, 20, 19, 19, 19, 18, 19, 18, 18, 17, 20, 19, 18, 18, 19, 17, 18, 18, 2]
Total Requests: 25 | Response Time: [19, 19, 19, 19, 20, 20, 20, 19, 19, 21, 27, 21, 20, 28, 19, 18, 17, 18, 18, 17, 18, 19, 19, 18, 20, 2]
Total Requests: 25 | Response Time: [20, 18, 20, 19, 20, 26, 22, 21, 20, 22, 22, 20, 22, 22, 23, 25, 26, 47, 23, 26, 24, 20, 21, 21, 28, 3]
Total Requests: 25 | Response Time: [19, 20, 19, 19, 19, 20, 19, 19, 19, 18, 19, 19, 20, 19, 19, 18, 18, 19, 18, 18, 18, 18, 18, 19, 18, 1]
Total Requests: 10 | Response Time: [18, 18, 18, 18, 18, 17, 19, 19, 18, 18, 1]
Total Requests: 10 | Response Time: [17, 18, 18, 18, 18, 19, 19, 18, 19, 18, 2]
Total Requests: 10 | Response Time: [24, 21, 22, 21, 22, 24, 20, 22, 20, 22, 4]
Total Requests: 10 | Response Time: [19, 20, 19, 20, 22, 19, 21, 20, 19, 19, 2]
Total Requests: 10 | Response Time: [153, 153, 154, 154, 154, 155, 153, 154, 155, 156, 2]
Total Requests: 0 | Response Time: [1]
Total Requests: 10 | Response Time: [158, 156, 154, 155, 153, 155, 156, 156, 155, 155, 3]
Total Requests: 10 | Response Time: [1505, 1507, 1505, 1503, 1505, 1506, 1506, 1505, 1506, 1506, 2]
Total Requests: 25 | Response Time: [1505, 1506, 1505, 1504, 1505, 1505, 1506, 1507, 1505, 1503, 1603, 1603, 1604, 1604, 1605, 1605, 1610, 1606, 1603, 1603, 1604, 1604, 1603, 1603, 1603, 1]
Total Requests: 90 | Response Time: [1602, 1603, 1605, 1603, 1603, 1603, 1603, 1603, 1601, 1604, 1603, 1604, 1603, 1603, 1603, 1603, 1604, 1604, 1604, 1604, 1604, 1602, 1602, 1602, 1603, 1604, 1605, 1603, 1605, 1603, 1603, 1603, 1603, 1604, 1604, 1603, 1603, 1603, 1602, 1603, 1603, 1604, 1604, 1603, 1601, 1603, 1602, 1602, 1604, 1604, 1704, 1704, 1702, 1702, 1702, 1702, 1704, 1703, 1704, 1704, 1703, 1701, 1702, 1704, 1704, 1704, 1702, 1703, 1703, 1702, 1703, 1703, 1705, 1702, 1702, 1702, 1702, 1702, 1704, 1704, 1503, 1504, 1502, 1502, 1503, 1503, 1503, 1503, 1504, 1503, 1]
Total Requests: 90 | Response Time: [1603, 1603, 1603, 1603, 1602, 1602, 1603, 1605, 1604, 1605, 1603, 1603, 1602, 1604, 1603, 1605, 1604, 1604, 1603, 1603, 1601, 1604, 1604, 1604, 1603, 1602, 1602, 1602, 1603, 1604, 1606, 1604, 1603, 1603, 1603, 1602, 1603, 1604, 1604, 1604, 1604, 1603, 1601, 1602, 1603, 1604, 1603, 1602, 1601, 1602, 1702, 1703, 1704, 1703, 1704, 1704, 1703, 1702, 1702, 1704, 1704, 1704, 1704, 1703, 1703, 1702, 1704, 1704, 1704, 1704, 1702, 1702, 1702, 1704, 1703, 1703, 1705, 1702, 1702, 1701, 1503, 1504, 1504, 1504, 1503, 1503, 1502, 1501, 1503, 1503, 2]
Total Requests: 0 | Response Time: [1]
Total Requests: 0 | Response Time: [1]
Total Requests: 0 | Response Time: [1]
Total Requests: 0 | Response Time: [2]
Total Requests: 0 | Response Time: [1]
Total Requests: 0 | Response Time: [6]
Total Requests: 0 | Response Time: [1]
Total Requests: 1 | Response Time: [1604, 1]
Total Requests: 1 | Response Time: [1604, 0]
Total Requests: 1 | Response Time: [1606, 3]
Total Requests: 10 | Response Time: [1506, 1505, 1503, 1506, 1505, 1506, 1507, 1506, 1504, 1503, 1]
Total Requests: 10 | Response Time: [1504, 1504, 1505, 1504, 1504, 1507, 1505, 1507, 1504, 1502, 2]
Total Requests: 90 | Response Time: [1604, 1604, 1604, 1603, 1603, 1603, 1602, 1603, 1604, 1604, 1603, 1604, 1603, 1602, 1602, 1606, 1604, 1603, 1602, 1601, 1602, 1602, 1603, 1604, 1604, 1604, 1604, 1603, 1602, 1603, 1603, 1604, 1604, 1603, 1603, 1604, 1602, 1603, 1603, 1604, 1604, 1604, 1602, 1602, 1603, 1604, 1604, 1603, 1601, 1603, 1702, 1702, 1703, 1704, 1705, 1702, 1703, 1703, 1703, 1703, 1704, 1704, 1703, 1703, 1703, 1702, 1703, 1704, 1704, 1702, 1703, 1703, 1702, 1703, 1704, 1704, 1702, 1703, 1703, 1702, 1503, 1503, 1505, 1504, 1504, 1504, 1503, 1502, 1503, 1504, 3]
Total Requests: 0 | Response Time: [1]
Total Requests: 90 | Response Time: [1603, 1602, 1602, 1601, 1603, 1601, 1604, 1605, 1603, 1603, 1602, 1602, 1604, 1604, 1604, 1606, 1606, 1604, 1603, 1605, 1605, 1605, 1604, 1604, 1604, 1603, 1603, 1603, 1604, 1604, 1604, 1603, 1603, 1606, 1604, 1603, 1604, 1603, 1604, 1603, 1603, 1602, 1602, 1603, 1604, 1605, 1602, 1604, 1602, 1603, 1703, 1704, 1703, 1705, 1713, 1703, 1702, 1716, 1704, 1704, 1719, 1703, 1702, 1715, 1712, 1704, 1717, 1703, 1703, 1713, 1703, 1702, 1703, 1716, 1704, 1704, 1705, 1702, 1702, 1703, 1504, 1504, 1504, 1503, 1503, 1502, 1502, 1503, 1503, 1516, 2]
Total Requests: 10 | Response Time: [1504, 1507, 1506, 1505, 1504, 1504, 1504, 1504, 1503, 1503, 1]
Total Requests: 10 | Response Time: [1503, 1505, 1506, 1506, 1505, 1504, 1506, 1505, 1503, 1505, 2]
Total Requests: 90 | Response Time: [1604, 1603, 1602, 1603, 1604, 1605, 1603, 1605, 1603, 1604, 1602, 1605, 1604, 1604, 1603, 1603, 1603, 1602, 1603, 1604, 1603, 1604, 1604, 1603, 1601, 1604, 1615, 1604, 1603, 1603, 1602, 1603, 1602, 1603, 1604, 1604, 1603, 1602, 1603, 1602, 1603, 1604, 1604, 1604, 1604, 1602, 1603, 1602, 1603, 1603, 1704, 1704, 1703, 1704, 1701, 1704, 1703, 1705, 1702, 1703, 1702, 1702, 1703, 1704, 1703, 1703, 1702, 1702, 1701, 1703, 1704, 1703, 1703, 1703, 1703, 1702, 1703, 1704, 1704, 1703, 1502, 1503, 1501, 1503, 1504, 1504, 1503, 1504, 1503, 1502, 0]
