Total Requests: 10 | Response Time: [5006, 5005, 5006, 5005, 5005, 5004, 5004, 5004, 5003, 5005, 1]
Total Requests: 90 | Response Time: [1602, 1603, 1604, 1604, 1605, 1605, 1604, 1604, 1602, 1603, 1604, 1605, 1605, 1603, 1603, 1603, 1603, 1604, 1606, 1605, 7003, 7002, 7004, 7004, 7004, 7004, 7004, 7004, 7005, 7005, 7003, 7004, 7003, 7002, 7003, 7007, 7004, 7004, 7004, 7003, 7003, 7005, 7003, 7003, 7003, 7002, 7004, 7003, 7003, 7003, 7003, 7004, 7004, 7004, 7003, 7004, 7003, 7003, 7004, 7005, 1702, 1704, 1705, 1705, 1704, 1704, 1703, 1702, 1704, 1704, 1704, 1704, 1704, 1703, 1702, 1703, 1704, 1704, 1704, 1704, 1702, 1702, 1704, 1703, 1704, 1704, 1704, 1703, 1702, 1703, 1]
Total Requests: 1000 | Response Time: [17013, 17003, 17003, 17003, 17002, 17003, 17003, 17003, 17003, 17003, 17004, 17003, 17003, 17004, 17003, 17003, 17003, 17003, 17002, 17003, 17003, 17003, 17003, 17003, 17003, 17002, 17002, 17002, 17002, 17003, 17002, 17002, 17002, 17002, 17003, 17014, 17003, 17003, 17002, 17003, 17003, 17001, 17003, 17002, 17003, 17003, 17003, 17003, 17002, 17002, 17003, 17002, 17003, 17012, 17002, 17002, 17002, 17004, 17002, 17002, 17002, 17002, 17002, 17003, 17003, 17003, 17003, 17003, 17003, 17002, 17002, 17003, 17003, 17003, 17003, 17003, 17002, 17002, 17002, 17002, 17001, 17003, 17003, 17012, 17002, 17002, 17002, 17002, 17002, 17016, 17002, 17002, 17018, 17001, 17002, 17003, 17003, 17003, 17002, 17003, 17002, 17016, 17002, 17003, 17003, 17002, 17002, 17001, 17003, 17003, 17002, 17001, 17002, 17002, 17002, 17003, 17002, 17001, 17002, 17002, 17002, 17002, 17003, 17002, 17003, 17003, 17003, 17002, 17003, 17002, 17002, 17003, 17002, 17003, 17002, 17002, 17003, 17002, 17003, 17002, 17002, 17003, 17003, 17003, 17002, 17003, 17003, 17003, 17002, 17003, 17003, 17002, 17017, 17004, 17003, 17002, 17002, 17003, 17011, 17003, 17002, 17002, 17002, 17003, 17002, 17004, 17002, 17003, 17002, 17003, 17002, 17003, 17001, 17003, 17002, 17002, 17002, 17002, 17003, 17002, 17002, 17002, 17001, 17003, 17002, 17003, 17002, 17001, 17003, 17002, 17003, 17003, 17003, 17002, 17003, 17002, 17001, 17002, 17003, 17002, 17001, 17002, 17002, 17003, 17002, 17003, 17003, 17002, 17002, 17003, 17002, 17002, 17002, 17002, 17002, 17003, 17002, 17002, 17003, 17003, 17002, 17002, 17002, 17002, 17001, 17002, 17002, 17002, 17002, 17002, 17001, 17002, 17002, 17002, 17003, 17002, 17002, 17002, 17002, 17002, 17003, 17002, 17002, 17003, 17002, 17002, 17002, 17003, 17003, 17002, 17002, 17002, 17002, 17002, 17003, 17002, 17002, 17003, 17002, 17003, 17002, 17003, 17002, 17002, 17002, 17002, 17002, 17004, 17002, 17002, 17003, 17002, 17002, 17003, 17003, 17003, 17002, 17003, 17002, 17001, 17003, 17002, 17002, 17002, 17003, 17002, 17003, 17003, 17002, 17003, 17002, 17008, 17002, 17002, 17002, 17003, 17002, 17002, 17002, 17003, 16001, 16002, 16003, 16002, 16002, 16002, 16002, 16002, 16003, 16002, 16001, 16003, 16003, 16013, 16003, 16002, 16001, 16002, 16003, 16003, 16002, 16003, 16003, 16001, 16003, 16003, 16001, 16003, 16002, 16001, 16002, 16003, 16002, 16002, 16003, 16003, 16002, 16002, 16002, 16002, 16002, 16002, 16002, 16002, 16002, 16002, 16002, 16003, 16003, 16002, 16003, 16003, 16002, 16002, 16002, 16001, 16002, 16003, 16002, 16002, 16003, 16015, 16002, 16002, 16003, 16002, 16002, 16002, 16001, 16002, 16012, 16002, 16002, 16002, 16002, 16002, 16002, 16003, 16001, 16003, 16002, 16001, 16002, 16003, 16002, 16002, 16002, 16003, 16003, 16002, 16003, 16002, 16003, 16002, 16002, 16003, 16003, 16002, 16002, 16002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18001, 18002, 18002, 18002, 18002, 18003, 18002, 18003, 18002, 18003, 18002, 18002, 18001, 18002, 18003, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18004, 18002, 18002, 18003, 18003, 18002, 18003, 18002, 18002, 18002, 18013, 18002, 18002, 18003, 18002, 18002, 18002, 18001, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18001, 18003, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18003, 18002, 18001, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18003, 18003, 18003, 18003, 18003, 18003, 18002, 18002, 18003, 18002, 18001, 18001, 18003, 18002, 18002, 18002, 18002, 18003, 18001, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18001, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18003, 18003, 18002, 18001, 18003, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18003, 18003, 18002, 18002, 18002, 18002, 18001, 18001, 18003, 18002, 18002, 18002, 18002, 18001, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18001, 18002, 18003, 18003, 18002, 18003, 18002, 18008, 18003, 18002, 18002, 18003, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18003, 18001, 18003, 18002, 18002, 18001, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18010, 18002, 18001, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18001, 18001, 18003, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18001, 18014, 18002, 18002, 18002, 18003, 18001, 18003, 18001, 18002, 18001, 18003, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18012, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18001, 18003, 18002, 18002, 18002, 18002, 18001, 18002, 18002, 18002, 18002, 18002, 18001, 18002, 18002, 18002, 18001, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18003, 18003, 18002, 18003, 18002, 18003, 18003, 18002, 18002, 18003, 18003, 18002, 18003, 18015, 18002, 18002, 18002, 18003, 18003, 18012, 18003, 18003, 18002, 18008, 18003, 18003, 18003, 18002, 18002, 18010, 18002, 18015, 18002, 18002, 18003, 18002, 18001, 18001, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18013, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18003, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18001, 18003, 18002, 18002, 18001, 18002, 18014, 18002, 18002, 18001, 18003, 18001, 18002, 18002, 18002, 18003, 18002, 18002, 18001, 18003, 18002, 18002, 18001, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18002, 18011, 18002, 18002, 15002, 15003, 15002, 15003, 15002, 15002, 15003, 15002, 15003, 15011, 15002, 15002, 15012, 15002, 15003, 15001, 15002, 15003, 15003, 15001, 15002, 15003, 15002, 15002, 15002, 15003, 15002, 15002, 15002, 15005, 15002, 15001, 15002, 15002, 15002, 15002, 15002, 15002, 15001, 15001, 15002, 15003, 15002, 15002, 15002, 15002, 15002, 15002, 15003, 15001, 15002, 15001, 15003, 15003, 15002, 15002, 15003, 15002, 15001, 15005, 15003, 15003, 15002, 15002, 15019, 15003, 15002, 15002, 15003, 15002, 15002, 15002, 15003, 15002, 15001, 15002, 15003, 15002, 15001, 15002, 15003, 15017, 15002, 15002, 15003, 15002, 15002, 15002, 15003, 15002, 15013, 15003, 15002, 15001, 15002, 15003, 15001, 15002, 15001, 15003, 15002, 15001, 15002, 15002, 15002, 15001, 15013, 15003, 15002, 15001, 15002, 15003, 15002, 15002, 15002, 15003, 15003, 15002, 15002, 15003, 15002, 15001, 15002, 15002, 15002, 15002, 15002, 15003, 15004, 15002, 15001, 15015, 15002, 15001, 15002, 15003, 15002, 15001, 15002, 15002, 15003, 15001, 15013, 15003, 15002, 15001, 15003, 15002, 15001, 15002, 15003, 15003, 15002, 15002, 15002, 15013, 15002, 15001, 15002, 15002, 15001, 15002, 15003, 15002, 15002, 15011, 15003, 15002, 15002, 15002, 15002, 15013, 15012, 15001, 15003, 15003, 15002, 15002, 15002, 15001, 15002, 15002, 15002, 15012, 15002, 15002, 15002, 15002, 15002, 15001, 15002, 15003, 15002, 15002, 15003, 15003, 15002, 15002, 15002, 15003, 1]
Total Requests: 10 | Response Time: [5005, 5005, 5005, 5006, 5004, 5004, 5005, 5005, 5006, 5004, 1]
Total Requests: 0 | Response Time: [2]
Total Requests: 10 | Response Time: [506, 505, 507, 505, 506, 505, 507, 506, 503, 505, 2]
Total Requests: 90 | Response Time: [163, 163, 162, 163, 164, 163, 163, 162, 163, 162, 163, 162, 163, 163, 163, 162, 162, 162, 164, 166, 703, 703, 704, 704, 703, 704, 704, 704, 704, 704, 703, 701, 703, 702, 702, 704, 702, 704, 705, 704, 705, 702, 703, 704, 705, 702, 703, 703, 705, 703, 702, 702, 703, 702, 703, 704, 704, 704, 705, 704, 175, 175, 174, 174, 174, 174, 174, 174, 173, 174, 174, 173, 171, 172, 172, 172, 174, 173, 175, 173, 174, 173, 184, 184, 174, 173, 173, 172, 172, 184, 1]
Total Requests: 1000 | Response Time: [172, 171, 172, 172, 173, 173, 173, 173, 173, 174, 175, 173, 173, 173, 173, 173, 172, 173, 173, 173, 172, 173, 173, 172, 173, 173, 172, 172, 173, 173, 172, 174, 172, 172, 172, 173, 171, 171, 172, 172, 173, 173, 173, 173, 172, 171, 172, 172, 171, 172, 172, 172, 171, 171, 172, 171, 172, 171, 171, 172, 171, 171, 172, 171, 171, 171, 172, 172, 176, 171, 171, 173, 173, 173, 172, 173, 173, 174, 173, 173, 173, 173, 173, 172, 173, 173, 173, 173, 173, 172, 173, 173, 173, 173, 173, 172, 173, 173, 173, 173, 173, 173, 171, 172, 173, 172, 171, 172, 171, 172, 172, 173, 174, 173, 173, 172, 172, 173, 173, 172, 171, 172, 172, 171, 172, 171, 171, 171, 172, 171, 172, 171, 172, 174, 171, 171, 172, 171, 173, 172, 172, 171, 172, 173, 172, 173, 173, 172, 173, 173, 173, 172, 173, 173, 172, 171, 171, 172, 172, 172, 173, 173, 172, 173, 173, 182, 173, 172, 173, 172, 172, 173, 173, 172, 172, 172, 172, 174, 172, 171, 171, 171, 172, 173, 173, 172, 173, 172, 172, 172, 173, 171, 172, 172, 171, 172, 171, 171, 172, 171, 171, 171, 172, 171, 171, 171, 171, 172, 171, 172, 171, 171, 172, 171, 172, 172, 172, 173, 173, 172, 171, 173, 173, 173, 172, 173, 172, 173, 172, 173, 172, 173, 172, 173, 173, 172, 173, 173, 172, 173, 173, 173, 172, 173, 172, 172, 173, 172, 172, 172, 171, 171, 171, 172, 173, 172, 173, 172, 172, 172, 172, 172, 172, 171, 172, 172, 171, 171, 171, 171, 171, 172, 171, 171, 171, 171, 171, 172, 171, 171, 172, 171, 171, 171, 173, 172, 172, 173, 173, 171, 172, 173, 173, 173, 173, 172, 172, 173, 172, 173, 163, 162, 163, 162, 163, 162, 163, 162, 162, 162, 163, 163, 162, 163, 163, 162, 163, 162, 163, 163, 162, 161, 162, 161, 161, 162, 163, 163, 167, 163, 162, 162, 162, 162, 162, 162, 162, 162, 161, 161, 161, 161, 162, 161, 161, 172, 162, 161, 161, 161, 161, 161, 161, 162, 161, 161, 162, 161, 161, 162, 163, 162, 162, 175, 162, 163, 163, 162, 163, 171, 172, 162, 163, 162, 162, 162, 162, 162, 173, 163, 173, 163, 163, 163, 162, 163, 163, 171, 162, 163, 171, 162, 163, 163, 161, 162, 161, 161, 161, 161, 152, 152, 152, 153, 152, 152, 152, 152, 151, 153, 152, 152, 152, 155, 151, 151, 152, 151, 151, 153, 151, 151, 152, 151, 152, 151, 151, 151, 151, 151, 152, 151, 152, 152, 152, 151, 151, 152, 151, 152, 152, 152, 153, 152, 153, 152, 153, 153, 152, 153, 153, 152, 153, 152, 153, 152, 153, 153, 152, 153, 153, 152, 152, 153, 152, 153, 152, 152, 153, 153, 152, 152, 153, 152, 153, 152, 153, 153, 152, 151, 151, 151, 151, 152, 153, 152, 153, 153, 153, 153, 152, 151, 153, 152, 151, 151, 151, 151, 152, 151, 151, 151, 151, 152, 151, 151, 151, 152, 151, 151, 151, 151, 151, 152, 151, 151, 152, 151, 151, 151, 154, 151, 152, 152, 153, 152, 151, 152, 151, 152, 152, 152, 151, 152, 153, 152, 153, 152, 152, 153, 153, 152, 153, 153, 152, 152, 153, 153, 152, 152, 153, 152, 152, 151, 153, 152, 152, 152, 153, 152, 153, 151, 151, 151, 151, 152, 153, 152, 153, 152, 153, 152, 151, 152, 153, 152, 152, 151, 151, 151, 151, 152, 151, 151, 151, 151, 151, 151, 152, 151, 151, 151, 152, 151, 151, 152, 151, 151, 152, 151, 182, 181, 181, 182, 181, 182, 182, 182, 182, 183, 182, 182, 182, 183, 183, 181, 182, 182, 182, 183, 182, 182, 182, 182, 182, 182, 181, 183, 182, 181, 182, 181, 182, 182, 182, 181, 181, 181, 182, 183, 182, 182, 183, 182, 182, 181, 181, 182, 182, 181, 181, 181, 181, 181, 182, 181, 181, 181, 182, 181, 181, 181, 181, 182, 181, 181, 181, 181, 182, 182, 182, 182, 183, 183, 182, 183, 182, 183, 182, 182, 183, 182, 183, 183, 182, 183, 182, 182, 182, 183, 182, 183, 182, 184, 192, 183, 193, 183, 183, 194, 182, 182, 181, 181, 181, 193, 182, 182, 183, 182, 182, 181, 182, 181, 181, 182, 181, 181, 181, 181, 182, 181, 181, 181, 182, 180, 181, 181, 181, 182, 181, 181, 184, 181, 182, 182, 182, 183, 183, 182, 182, 182, 182, 182, 183, 182, 182, 183, 182, 183, 182, 183, 183, 182, 183, 182, 182, 183, 183, 182, 183, 182, 182, 183, 183, 182, 183, 181, 181, 182, 181, 182, 182, 182, 181, 182, 182, 183, 182, 183, 182, 181, 181, 182, 181, 182, 181, 181, 181, 182, 181, 181, 181, 182, 181, 181, 181, 181, 182, 181, 181, 181, 182, 183, 182, 183, 182, 183, 182, 183, 183, 182, 182, 183, 182, 183, 182, 183, 183, 182, 183, 183, 182, 182, 182, 183, 182, 183, 182, 183, 182, 183, 183, 182, 183, 182, 181, 181, 181, 182, 182, 183, 183, 183, 182, 183, 182, 181, 181, 181, 181, 181, 181, 181, 182, 181, 181, 182, 181, 182, 181, 181, 181, 181, 181, 181, 182, 181, 181, 185, 185, 182, 182, 182, 181, 181, 182, 183, 182, 182, 183, 182, 182, 183, 182, 183, 182, 183, 183, 182, 182, 183, 182, 182, 183, 182, 183, 182, 182, 182, 183, 182, 183, 182, 182, 181, 181, 182, 181, 183, 182, 183, 182, 182, 182, 181, 197, 181, 182, 192, 182, 181, 181, 182, 181, 181, 181, 195, 182, 181, 181, 182, 181, 181, 181, 181, 182, 181, 182, 182, 183, 188, 183, 182, 182, 183, 182, 183, 183, 182, 183, 182, 183, 183, 182, 182, 182, 183, 182, 183, 182, 183, 182, 182, 182, 183, 182, 183, 182, 183, 183, 182, 181, 181, 181, 182, 181, 183, 182, 182, 183, 182, 182, 182, 182, 181, 181, 181, 182, 181, 181, 181, 181, 182, 181, 181, 181, 181, 182, 181, 1]
Total Requests: 150 | Response Time: [153, 154, 162, 154, 153, 153, 153, 154, 154, 154, 153, 153, 153, 154, 154, 154, 163, 164, 151, 165, 154, 152, 166, 152, 164, 154, 166, 154, 166, 152, 153, 152, 152, 152, 151, 152, 152, 152, 163, 152, 152, 152, 152, 152, 152, 152, 152, 164, 164, 152, 152, 164, 151, 152, 161, 168, 154, 154, 153, 153, 154, 154, 153, 154, 153, 153, 154, 154, 153, 154, 155, 153, 154, 152, 153, 152, 153, 153, 153, 154, 153, 154, 153, 154, 154, 154, 154, 154, 154, 154, 154, 155, 154, 152, 152, 152, 152, 151, 153, 153, 154, 154, 153, 154, 154, 153, 153, 153, 153, 152, 153, 152, 152, 152, 152, 152, 152, 152, 152, 152, 152, 153, 152, 152, 153, 152, 152, 151, 152, 152, 152, 153, 151, 152, 152, 153, 154, 164, 153, 153, 166, 153, 154, 154, 153, 152, 152, 155, 153, 152, 1]
Total Requests: 10 | Response Time: [55, 54, 56, 56, 54, 53, 55, 56, 55, 53, 3]
Total Requests: 150 | Response Time: [153, 155, 154, 155, 154, 154, 155, 163, 152, 152, 152, 152, 153, 153, 153, 165, 154, 154, 154, 153, 153, 153, 154, 153, 153, 153, 153, 152, 152, 152, 164, 152, 152, 152, 152, 168, 152, 152, 152, 152, 152, 151, 152, 161, 151, 165, 164, 152, 165, 154, 153, 154, 154, 154, 153, 166, 153, 154, 154, 154, 154, 155, 154, 154, 153, 154, 154, 154, 155, 154, 155, 154, 154, 153, 155, 154, 154, 153, 154, 153, 154, 154, 154, 154, 154, 153, 151, 152, 152, 152, 153, 154, 154, 154, 153, 153, 153, 153, 152, 153, 153, 152, 152, 151, 152, 152, 152, 152, 151, 152, 152, 152, 152, 152, 152, 152, 151, 152, 152, 152, 152, 152, 152, 151, 152, 152, 152, 154, 152, 153, 153, 154, 153, 154, 153, 154, 153, 154, 154, 154, 154, 154, 153, 154, 153, 154, 154, 154, 154, 154, 2]
