Total Requests: 15 | Response Time: [56, 55, 56, 56, 55, 54, 55, 56, 53, 52, 54, 55, 54, 52, 52, 1]
Total Requests: 15 | Response Time: [504, 504, 503, 503, 503, 503, 503, 504, 503, 504, 506, 506, 505, 505, 505, 3]
Total Requests: 35 | Response Time: [502, 504, 502, 502, 502, 503, 503, 502, 503, 503, 503, 503, 503, 503, 504, 604, 604, 605, 604, 604, 605, 606, 605, 604, 604, 605, 606, 603, 602, 602, 602, 602, 602, 604, 605, 3]
Total Requests: 130 | Response Time: [603, 603, 601, 602, 603, 602, 602, 601, 602, 602, 607, 604, 603, 604, 604, 604, 603, 604, 604, 603, 602, 602, 604, 603, 602, 703, 704, 702, 701, 702, 703, 702, 702, 703, 704, 703, 703, 704, 703, 702, 704, 703, 702, 702, 702, 702, 701, 702, 704, 703, 703, 703, 704, 703, 703, 703, 702, 704, 703, 703, 501, 502, 501, 502, 502, 502, 502, 502, 502, 503, 504, 503, 503, 503, 504, 503, 502, 503, 503, 502, 502, 503, 502, 502, 503, 501, 502, 502, 501, 502, 502, 502, 503, 502, 504, 503, 504, 503, 503, 503, 503, 504, 503, 503, 503, 501, 503, 503, 502, 501, 503, 502, 501, 501, 502, 502, 502, 502, 503, 503, 503, 504, 503, 504, 503, 503, 503, 503, 503, 503, 0]
Total Requests: 130 | Response Time: [604, 604, 604, 604, 603, 603, 603, 604, 603, 602, 601, 602, 602, 602, 602, 603, 603, 608, 604, 603, 603, 603, 604, 605, 603, 702, 703, 703, 701, 702, 702, 702, 702, 702, 702, 704, 703, 703, 703, 703, 704, 703, 703, 702, 703, 703, 702, 702, 702, 702, 702, 702, 703, 703, 704, 703, 703, 703, 704, 703, 502, 503, 503, 503, 502, 502, 502, 511, 502, 502, 501, 502, 502, 502, 504, 503, 503, 504, 504, 503, 503, 504, 503, 504, 502, 502, 502, 504, 503, 502, 501, 502, 501, 502, 502, 501, 503, 503, 503, 503, 503, 504, 503, 503, 503, 503, 504, 503, 502, 501, 503, 503, 503, 504, 503, 501, 502, 501, 502, 502, 502, 503, 503, 504, 504, 503, 503, 504, 503, 504, 2]
Total Requests: 15 | Response Time: [503, 503, 503, 504, 506, 505, 507, 505, 506, 506, 506, 506, 506, 504, 504, 3]
Total Requests: 15 | Response Time: [506, 504, 503, 504, 503, 503, 504, 503, 505, 505, 505, 506, 504, 504, 505, 3]
Total Requests: 130 | Response Time: [604, 608, 604, 604, 604, 604, 602, 604, 605, 604, 603, 602, 602, 602, 601, 601, 602, 604, 604, 604, 603, 604, 603, 603, 604, 703, 703, 702, 702, 702, 702, 701, 702, 702, 702, 703, 703, 704, 704, 703, 703, 704, 703, 703, 703, 704, 702, 702, 701, 702, 702, 703, 703, 704, 703, 703, 703, 703, 702, 704, 503, 501, 503, 503, 503, 503, 501, 502, 502, 501, 502, 501, 503, 503, 503, 503, 504, 503, 504, 503, 504, 503, 504, 503, 503, 501, 503, 503, 502, 503, 501, 502, 502, 501, 502, 502, 502, 503, 503, 504, 503, 503, 504, 503, 503, 503, 504, 503, 503, 502, 503, 503, 502, 504, 503, 502, 501, 502, 502, 501, 502, 502, 503, 503, 504, 503, 503, 503, 504, 503, 2]
Total Requests: 130 | Response Time: [604, 616, 604, 604, 602, 604, 614, 604, 602, 602, 602, 601, 602, 602, 602, 603, 605, 604, 604, 605, 603, 604, 604, 604, 603, 703, 703, 704, 704, 703, 701, 702, 702, 701, 703, 705, 703, 704, 703, 704, 704, 703, 703, 702, 702, 704, 702, 701, 702, 702, 702, 704, 704, 704, 703, 704, 704, 710, 705, 703, 502, 502, 503, 503, 503, 501, 502, 502, 502, 502, 501, 501, 502, 502, 504, 503, 503, 502, 504, 504, 503, 503, 504, 503, 503, 503, 503, 503, 502, 503, 503, 501, 502, 502, 501, 502, 501, 503, 503, 503, 503, 504, 503, 504, 503, 503, 504, 504, 503, 503, 502, 504, 502, 502, 502, 502, 502, 502, 503, 502, 502, 501, 502, 504, 503, 504, 504, 503, 504, 503, 2]
Total Requests: 15 | Response Time: [505, 506, 506, 505, 505, 506, 505, 506, 503, 503, 504, 506, 504, 505, 502, 1]
Total Requests: 15 | Response Time: [506, 506, 506, 506, 504, 507, 505, 506, 503, 506, 504, 504, 505, 504, 504, 2]
Total Requests: 130 | Response Time: [602, 602, 603, 602, 603, 603, 604, 604, 604, 604, 604, 604, 602, 602, 603, 603, 604, 603, 602, 601, 602, 602, 602, 604, 604, 704, 703, 704, 703, 704, 703, 703, 703, 703, 704, 703, 702, 702, 701, 703, 704, 708, 703, 704, 703, 702, 703, 703, 702, 703, 704, 703, 701, 702, 702, 701, 703, 702, 703, 704, 503, 503, 503, 504, 503, 503, 502, 502, 503, 502, 503, 503, 501, 502, 501, 502, 502, 501, 503, 502, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 502, 503, 503, 503, 503, 502, 502, 502, 501, 502, 501, 502, 502, 503, 503, 503, 503, 504, 502, 503, 503, 503, 504, 502, 502, 503, 503, 503, 503, 502, 501, 502, 501, 502, 501, 502, 503, 502, 503, 503, 2]
